dataset,loss_type,df,fourier_scale,model_psnr,model_psnr_std,bilinear_psnr,bilinear_psnr_std,psnr_improvement,psnr_improvement_std,total_samples
burst_synth,mse,4,1,27.456417961120607,4.349587157718776,26.12599433898926,3.7210398920557743,1.3304236221313477,1.1495404923806793,50
satburst_synth,mse,2,5,39.33461380004883,2.830286073530672,34.69514379501343,3.5073159546927926,4.639470005035401,1.0461290836403638,20
satburst_synth,gnll,8,10,28.787636375427248,3.8410399667538875,26.62105655670166,3.6790241356761686,2.166579818725586,2.3828831347586648,20
satburst_synth,gnll,2,1,30.02265148162842,4.222236428656116,34.69514379501343,3.5073159546927926,-4.67249231338501,1.5651637443914572,20
satburst_synth,gnll,2,3,36.017462158203124,3.829301425286297,34.69514379501343,3.5073159546927926,1.3223183631896973,1.7716038405595038,20
satburst_synth,mse,2,20,39.91959552764892,2.540375912937896,34.69514379501343,3.5073159546927926,5.224451732635498,1.3636571338142747,20
burst_synth,gnll,2,3,26.541345481872558,4.091712412250946,27.66766414642334,3.491218937638369,-1.1263186645507812,1.9103485026847447,50
satburst_synth,gnll,8,3,29.531775283813477,3.651785098209894,26.62105655670166,3.6790241356761686,2.9107187271118162,1.3053934123616053,20
burst_synth,mse,8,10,23.566879138946533,4.059831694718696,25.442631454467772,3.8283839550174874,-1.8757523155212403,2.113810603316489,50
satburst_synth,mse,8,1,28.790352153778077,3.552047041672299,26.62105655670166,3.6790241356761686,2.169295597076416,0.7590580639470701,20
burst_synth,mse,4,10,19.116471462249756,5.105122991382037,26.12599433898926,3.7210398920557743,-7.009522876739502,4.665468525749686,50
satburst_synth,gnll,4,5,35.049162769317626,3.2637262607818243,29.710631370544434,3.637124963916764,5.338531398773194,1.4320530989628621,20
burst_synth,mse,8,3,26.54606502532959,4.263801576331581,25.442631454467772,3.8283839550174874,1.1034335708618164,1.1093405572375672,50
satburst_synth,gnll,4,20,31.38339204788208,3.780207548279316,29.710631370544434,3.637124963916764,1.6727606773376464,3.741031865386169,20
burst_synth,mse,2,20,20.918541049957277,2.9986584805485346,27.66766414642334,3.491218937638369,-6.7491230964660645,1.483618303529141,50
burst_synth,mse,2,1,29.26074893951416,4.012605586177062,27.66766414642334,3.491218937638369,1.5930847930908203,1.1410756554529446,50
satburst_synth,mse,8,10,29.78665437698364,3.179236893781919,26.62105655670166,3.6790241356761686,3.1655978202819823,1.4221278119505205,20
satburst_synth,gnll,4,3,33.72044410705566,3.582868682270019,29.710631370544434,3.637124963916764,4.009812736511231,1.3241802671817582,20
burst_synth,mse,8,1,26.599438095092772,4.451176061637483,25.442631454467772,3.8283839550174874,1.156806640625,1.1190505354148501,50
burst_synth,mse,2,3,28.659988784790038,3.6469311252678898,27.66766414642334,3.491218937638369,0.9923246383666993,1.3489783339145458,50
satburst_synth,mse,4,10,36.048244094848634,2.590351297429781,29.710631370544434,3.637124963916764,6.337612724304199,1.5779667073624657,20
satburst_synth,mse,8,20,23.576502752304076,5.213904167904847,26.62105655670166,3.6790241356761686,-3.044553804397583,3.8145295579178478,20
